Conversation ID,Conversation started at (America/New_York),Fin AI Agent deflected,Topics,AI Subtopic,AI Topic
215473765947110,2026-04-03 13:36:15,true,,"Restoring batches with box and item retention, Bulk book listing and ISBN uploads","Batch processing, Bulk upload"
215473765185514,2026-04-03 12:55:07,true,,Amazon account integration and linking requirements,Amazon operations
215473764213796,2026-04-03 11:31:52,true,,"Shipping label printing and downloading, Packing list printing and issues, FNSKU label printing and troubleshooting",Labeling
215473762526955,2026-04-03 09:48:13,true,,Bulk cost and supplier data import,Bulk upload
215473762491685,2026-04-03 09:45:36,true,,CSV file upload and import operations,Bulk upload
215473762031953,2026-04-03 08:55:06,true,seller 365,InventoryLab subscription transition to Seller 365,Seller 365
215473760982534,2026-04-03 07:25:58,true,,"Scanning and scan option issues, Switching between monthly and yearly subscriptions, ScoutIQ subscription setup and account access","Troubleshooting, Subscription status options, ScoutIQ subscription"
215473759143855,2026-04-03 02:28:35,true,,"Depot order conversion requests, General shipment issues and status","Depot order conversion requests, Shipment issues"
215473757914985,2026-04-02 21:49:08,true,,Batch restoration and error handling,Batch processing
215473756329419,2026-04-02 18:45:12,true,,"Wholesale search and access options, ASIN and SKU pricing discrepancies, Unexpected price changes and pricing errors","Wholesale search and access options, SmartRepricer"
215473756202513,2026-04-02 18:28:41,true,,Printer and printing troubleshooting,Troubleshooting
215473756119346,2026-04-02 18:12:48,true,,"Login and password troubleshooting, Access and connectivity issues with InventoryLab",InventoryLab
215473754255208,2026-04-02 16:00:05,true,,"ASIN import and invalid ASIN errors, 2D barcode label options and usage, MSKU validation and error resolution","SKU and ASIN issues, Labeling"
215473753491960,2026-04-02 14:35:41,true,,"Campaign email delivery issues, Automated review and feedback requests","Troubleshooting, Review automation"
215473752834178,2026-04-02 13:37:22,true,,,
215473752412211,2026-04-02 12:54:14,true,,"Profit and sales discrepancies analysis, Inventory valuation and reporting","Profit and sales discrepancies analysis, Inventory issues"
215473752275699,2026-04-02 12:38:47,true,,"Amazon seller account reconnection and unlinking, SmartRepricer and InventoryLab integration and access","Amazon operations, SmartRepricer"
215473752180400,2026-04-02 12:30:36,true,,"Order visibility and health issues, Seller Central shipping workflow and status checks, InventoryLab and supplier-related subscription refunds","Troubleshooting, Shipment issues, Subscription cancellation and refunds"
215473751206927,2026-04-02 11:08:32,true,,Search functionality and results issues,Search functionality and results issues
215473751100312,2026-04-02 11:00:13,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473749880616,2026-04-02 09:52:19,true,,Account cancellation issues,Troubleshooting
215473749063949,2026-04-02 08:47:06,true,,"Batch processing errors and problem resolution, Batch item and button issues","Batch processing, Troubleshooting"
215473749027561,2026-04-02 08:44:02,true,,Batch processing errors and problem resolution,Batch processing
215473746459409,2026-04-02 03:56:40,true,refund,"International marketplace compatibility and InventoryLab support, Refund request status and processing, Profit and sales discrepancies analysis","InventoryLab, Billing disputes and refunds, Profit and sales discrepancies analysis"
215473745944396,2026-04-02 02:44:49,true,,DataSpark integration and access in Seller 365,Seller 365
215473745895468,2026-04-02 02:34:09,true,,Tactical Arbitrage subscriptions and accounts,Tactical Arbitrage subscriptions and accounts
215473744636877,2026-04-01 22:48:20,true,,Inventory valuation and reporting,Inventory issues
215473744591394,2026-04-01 22:40:48,true,,InventoryLab employee and user setup,User access
215473744251680,2026-04-01 21:43:09,true,,CSV file upload and import operations,Bulk upload
215473742191939,2026-04-01 18:54:25,true,,Subscription renewal process and troubleshooting,Subscription status options
215473741576411,2026-04-01 17:42:07,true,cancel,ScoutIQ subscription cancellation and payment problems,ScoutIQ subscription
215473741027552,2026-04-01 16:41:32,true,,,
215473740689736,2026-04-01 16:10:33,true,,,
215473740500623,2026-04-01 15:56:22,true,,"Bulk cost and supplier data import, Inventory data upload, import, and shipment creation workflows","Bulk upload, InventoryLab"
215473739516617,2026-04-01 14:32:51,true,,,
215473736860262,2026-04-01 11:50:34,true,,"User account creation and assignment, Tactical Arbitrage subscriptions and accounts","User access, Tactical Arbitrage subscriptions and accounts"
215473736046302,2026-04-01 11:14:21,true,,Invoice payments and viewing,Invoice payments and viewing
215473735140555,2026-04-01 10:12:54,true,,"Confirm placement operation failures, MSKU validation and error resolution, Amazon account connection and authorization issues","Placement errors, SKU and ASIN issues, Amazon operations"
215473734002107,2026-04-01 09:31:09,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473732641841,2026-04-01 08:06:47,true,,"Switching between monthly and yearly subscriptions, Subscription activation and reactivation issues",Subscription status options
215473732570247,2026-04-01 08:02:24,true,,"Seller 365 plans and pricing, SmartRepricer and InventoryLab integration and access, Minimum and maximum price configuration","Seller 365, SmartRepricer"
215473731678196,2026-04-01 06:56:44,true,,"Search functionality and results issues, ASIN import and invalid ASIN errors","Search functionality and results issues, SKU and ASIN issues"
215473731318535,2026-04-01 06:04:14,true,,"Bulk cost and supplier data import, ASIN import and invalid ASIN errors, MSKU validation and error resolution","Bulk upload, SKU and ASIN issues"
215473729859436,2026-04-01 03:35:59,true,,ASIN import and invalid ASIN errors,SKU and ASIN issues
215473729503960,2026-04-01 02:44:53,true,,"MSKU validation and error resolution, Reimbursement tracking and recovery","SKU and ASIN issues, Reimbursement tracking and recovery"
215473727833583,2026-03-31 22:33:48,true,,"Disputing and investigating account charges, Box handling and item movement in batches, Shipment placement errors and resolution","Billing disputes and refunds, Batch processing, Placement errors"
215473727820815,2026-03-31 22:30:59,true,,"Bulk cost and supplier data import, Minimum and maximum price configuration","Bulk upload, SmartRepricer"
215473725649820,2026-03-31 17:47:25,true,,"Batch closing, reopening, and restoration",Batch processing
215473725461603,2026-03-31 17:22:49,true,,Shipment placement errors and resolution,Placement errors
215473725412152,2026-03-31 17:19:46,true,,,
215473725056413,2026-03-31 16:47:55,true,,Active listing and offer visibility issues,SKU and ASIN issues
215473725056304,2026-03-31 16:47:54,true,,,
215473724149769,2026-03-31 15:41:26,true,,Search functionality and results issues,Search functionality and results issues
215473723791625,2026-03-31 15:08:56,true,,"International marketplace compatibility and InventoryLab support, Storage limits and volume restrictions, Marketplace connection and syncing errors","InventoryLab, Inventory issues, Amazon operations"
215473723073935,2026-03-31 14:34:45,true,,Campaign email delivery issues,Troubleshooting
215473723014390,2026-03-31 14:32:07,true,,Persistent issue resolution,Troubleshooting
215473722372984,2026-03-31 13:54:40,true,,Pending offer creation issues,Troubleshooting
215473721378694,2026-03-31 12:48:40,true,,Batch processing errors and problem resolution,Batch processing
215473720420464,2026-03-31 11:51:09,true,,Tactical Arbitrage subscriptions and accounts,Tactical Arbitrage subscriptions and accounts
215473720400523,2026-03-31 11:50:07,true,,"Scoutify login and access issues, ScoutIQ subscription setup and account access",ScoutIQ subscription
215473719003987,2026-03-31 10:52:58,true,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473718898310,2026-03-31 10:44:29,true,cancel,Tactical Arbitrage subscriptions and accounts,Tactical Arbitrage subscriptions and accounts
215473718237462,2026-03-31 10:07:13,true,cancel,"International marketplace compatibility and InventoryLab support, Subscription cancellation requests and account deletion, Inventory valuation and reporting","InventoryLab, Subscription cancellation and refunds, Inventory issues"
215473715059805,2026-03-31 08:27:45,true,,"InventoryLab and supplier-related subscription refunds, Reimbursement tracking and recovery","Subscription cancellation and refunds, Reimbursement tracking and recovery"
215473714649236,2026-03-31 08:08:44,true,,ScoutX and Scoutify functionality,ScoutIQ subscription
215473712956759,2026-03-31 05:19:57,true,refund,Reimbursement tracking and recovery,Reimbursement tracking and recovery
215473712853328,2026-03-31 05:04:49,true,,"Active listing and offer visibility issues, Minimum and maximum price configuration, Bulk cost and supplier data import","SKU and ASIN issues, SmartRepricer, Bulk upload"
215473712613265,2026-03-31 04:35:51,true,,Bulk cost and supplier data import,Bulk upload
215473712327667,2026-03-31 04:02:27,true,,Trial subscription cancellation,Subscription cancellation and refunds
215473712298874,2026-03-31 04:00:59,true,,"Campaign email delivery issues, Automated review and feedback requests","Troubleshooting, Review automation"
215473710995300,2026-03-31 00:25:48,true,,Editing and identifying inventory quantities,Inventory issues
215473710419638,2026-03-30 22:53:24,true,,Invoice payments and viewing,Invoice payments and viewing
215473709893989,2026-03-30 21:28:57,true,,"SKU creation and attribute errors, Inventory data upload, import, and shipment creation workflows, SmartRepricer settings and error resolution","SKU and ASIN issues, InventoryLab, SmartRepricer"
215473709741819,2026-03-30 21:12:58,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473709379231,2026-03-30 20:33:51,true,,Placement and shipment fee concerns,Placement errors
215473709003230,2026-03-30 19:43:21,true,,Inventory loading and population errors,InventoryLab
215473708970664,2026-03-30 19:37:23,true,,"Inventory valuation and reporting, SmartRepricer and InventoryLab integration and access, Inventory data upload, import, and shipment creation workflows","Inventory issues, SmartRepricer, InventoryLab"
215473708891392,2026-03-30 19:23:52,true,,"SmartRepricer and InventoryLab integration and access, Unexpected price changes and pricing errors",SmartRepricer
215473708784343,2026-03-30 19:08:37,true,,ASIN and SKU pricing discrepancies,SmartRepricer
215473708049190,2026-03-30 18:01:55,true,refund,Subscription refund eligibility and availability,Subscription cancellation and refunds
215473707742667,2026-03-30 17:27:46,true,,,
215473707647351,2026-03-30 17:15:34,true,,Active listing and offer visibility issues,SKU and ASIN issues
215473707302980,2026-03-30 16:46:29,true,,,
215473706155540,2026-03-30 15:57:25,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473705547933,2026-03-30 15:21:11,true,,,
215473705386249,2026-03-30 15:09:21,true,,"InventoryLab subscription cancellation, Account email changes and linking, General shipment issues and status","Subscription cancellation and refunds, InventoryLab, Shipment issues"
215473704884272,2026-03-30 14:52:27,true,,"Shipment batch issues and closing procedures, SKU creation and attribute errors","Batch processing, SKU and ASIN issues"
215473704513243,2026-03-30 14:37:55,true,,,
215473703983179,2026-03-30 14:12:04,true,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473703831706,2026-03-30 14:00:00,true,,General batch issues and troubleshooting,Batch processing
215473703804155,2026-03-30 13:56:55,true,,,
215473703613362,2026-03-30 13:36:36,true,,Credit card and card payment updates,Payment updates
215473701797649,2026-03-30 12:16:31,true,,Merging and managing multiple accounts,Merging and managing multiple accounts
215473701752060,2026-03-30 12:14:56,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473701562873,2026-03-30 12:07:12,true,,FBA shipment processing and complications,FBA operations
215473701545761,2026-03-30 12:06:17,true,,Inventory valuation and reporting,Inventory issues
215473701092456,2026-03-30 11:37:48,true,,"Placement and shipment fee concerns, Disputing and investigating account charges, InventoryLab and supplier-related subscription refunds","Placement errors, Billing disputes and refunds, Subscription cancellation and refunds"
215473701051563,2026-03-30 11:35:45,true,,,
215473700524765,2026-03-30 11:01:07,true,,,
215473700240224,2026-03-30 10:36:59,true,,"Inventory valuation and reporting, ASIN import and invalid ASIN errors","Inventory issues, SKU and ASIN issues"
215473700016655,2026-03-30 10:19:16,true,,Inventory valuation and reporting,Inventory issues
215473699817989,2026-03-30 10:08:12,true,,Depot order conversion requests,Depot order conversion requests
215473698727536,2026-03-30 09:10:22,true,refund,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473698198174,2026-03-30 08:42:51,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473695800367,2026-03-30 05:26:11,true,,"Disputing and investigating account charges, Invoice payments and viewing, Credit card and card payment updates","Billing disputes and refunds, Invoice payments and viewing, Payment updates"
215473695439251,2026-03-30 04:48:26,true,,Reimbursement tracking and recovery,Reimbursement tracking and recovery
215473694228426,2026-03-30 03:38:40,true,,"Tactical Arbitrage subscriptions and accounts, ASIN import and invalid ASIN errors","Tactical Arbitrage subscriptions and accounts, SKU and ASIN issues"
215473694061318,2026-03-30 03:29:19,true,,Marketplace connection and syncing errors,Amazon operations
215473693399273,2026-03-30 02:22:10,true,,Seller Central shipping workflow and status checks,Shipment issues
215473692544368,2026-03-29 23:35:03,true,,"Batch closing, reopening, and restoration, Locating closed, open, and archived batches",Batch processing
215473692396282,2026-03-29 23:03:39,true,,Trial subscription cancellation,Subscription cancellation and refunds
215473692249361,2026-03-29 22:32:57,true,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473691989563,2026-03-29 21:59:46,true,,Amazon shipment communication and stuck process issues,Amazon operations
215473691362562,2026-03-29 20:37:23,true,,Amazon seller account reconnection and unlinking,Amazon operations
215473690831909,2026-03-29 19:10:41,true,,,
215473690589335,2026-03-29 18:28:41,true,,Placement and shipment fee concerns,Placement errors
215473690463743,2026-03-29 18:09:53,true,,"ScoutIQ subscription setup and account access, Trial subscription cancellation","ScoutIQ subscription, Subscription cancellation and refunds"
215473690344059,2026-03-29 17:46:36,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473690038431,2026-03-29 16:41:40,true,,"Box handling and item movement in batches, MSKU validation and error resolution","Batch processing, SKU and ASIN issues"
215473689703939,2026-03-29 15:46:08,true,,"Account email changes and linking, Inventory valuation and reporting","InventoryLab, Inventory issues"
215473689640253,2026-03-29 15:37:42,true,,"SKU creation and attribute errors, General batch issues and troubleshooting","SKU and ASIN issues, Batch processing"
215473688131682,2026-03-29 13:40:54,true,,"Shipment error messages and troubleshooting, Restoring batches with box and item retention","Shipment issues, Batch processing"
215473687885725,2026-03-29 13:25:10,true,seller 365,"InventoryLab subscription transition to Seller 365, InventoryLab employee and user setup","Seller 365, User access"
215473687654843,2026-03-29 13:06:28,true,,General batch issues and troubleshooting,Batch processing
215473687483142,2026-03-29 12:45:45,true,,Shipment batch issues and closing procedures,Batch processing
215473687390528,2026-03-29 12:39:23,true,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473687020459,2026-03-29 12:04:22,true,,Invoice payments and viewing,Invoice payments and viewing
215473683690640,2026-03-29 03:03:27,true,,Invoice payments and viewing,Invoice payments and viewing
215473682094082,2026-03-28 21:18:29,true,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473681182578,2026-03-28 18:08:18,true,,ScoutX and Scoutify functionality,ScoutIQ subscription
215473680659786,2026-03-28 16:24:03,true,,Printer and printing troubleshooting,Troubleshooting
215473680492478,2026-03-28 15:51:12,true,,Changing associated account email addresses,Email settings
215473679651372,2026-03-28 14:14:22,true,,International marketplace compatibility and InventoryLab support,InventoryLab
215473679215173,2026-03-28 13:12:46,true,,Seller 365 plans and pricing,Seller 365
215473678991973,2026-03-28 12:39:11,true,cancel,"Tactical Arbitrage subscriptions and accounts, Account reactivation and deactivation procedures","Tactical Arbitrage subscriptions and accounts, Account status"
215473678179493,2026-03-28 11:01:24,true,,ScoutIQ subscription setup and account access,ScoutIQ subscription
215473676284279,2026-03-28 07:15:23,true,,International marketplace compatibility and InventoryLab support,InventoryLab
215473675933805,2026-03-28 06:14:31,true,,"Amazon product approval process, Restricted and excluded products handling","Amazon operations, Restricted and excluded products handling"
215473675025461,2026-03-28 03:07:28,true,,Switching between monthly and yearly subscriptions,Subscription status options
215473674767190,2026-03-28 02:13:59,true,refund,"Placement and shipment fee concerns, FBA pricing and sales discrepancies, Refunding charges and erroneous transactions","Placement errors, FBA operations, Billing disputes and refunds"
215473674541188,2026-03-28 01:20:01,true,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473674432012,2026-03-28 00:55:41,true,,"Service outage updates and response times, Support ticket status and updates","Service issues, Support ticket status and updates"
215473674421541,2026-03-28 00:52:39,true,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473673781089,2026-03-27 23:47:14,true,,MSKU validation and error resolution,SKU and ASIN issues
215473673765516,2026-03-27 23:43:22,true,seller 365,"Seller 365 account access and upgrades, SmartRepricer and InventoryLab integration and access","Seller 365, SmartRepricer"
215473673426110,2026-03-27 22:25:51,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473673025693,2026-03-27 21:02:55,true,,"SmartRepricer settings and error resolution, Active listing and offer visibility issues","SmartRepricer, SKU and ASIN issues"
215473672880746,2026-03-27 20:36:43,true,,"Changing associated account email addresses, ScoutX and Scoutify functionality","Email settings, ScoutIQ subscription"
215473672396300,2026-03-27 19:28:27,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473672188621,2026-03-27 19:01:44,true,,"Access and connectivity issues with InventoryLab, Inventory data upload, import, and shipment creation workflows",InventoryLab
215473670552020,2026-03-27 17:18:26,true,,"FBA pricing and sales discrepancies, Profit and sales discrepancies analysis","FBA operations, Profit and sales discrepancies analysis"
215473670469649,2026-03-27 17:13:58,true,,"FNSKU label printing and troubleshooting, Shipping label printing and downloading",Labeling
215473669881345,2026-03-27 16:48:55,true,,"Batch processing errors and problem resolution, ASIN import and invalid ASIN errors","Batch processing, SKU and ASIN issues"
215473669459916,2026-03-27 16:25:54,true,,"Resolving stranded and unlisted inventory issues, Persistent issue resolution","Inventory issues, Troubleshooting"
215473668944424,2026-03-27 15:36:13,true,,"Buy box performance and optimization, Minimum and maximum price configuration, Placement and shipment fee concerns","Buy box performance and optimization, SmartRepricer, Placement errors"
215473667591318,2026-03-27 14:03:56,true,,"Profit and sales discrepancies analysis, Placement and shipment fee concerns, Disputing and investigating account charges","Profit and sales discrepancies analysis, Placement errors, Billing disputes and refunds"
215473666847707,2026-03-27 13:38:19,true,,"Automated review and feedback requests, FeedbackWhiz account setup and subscription","Review automation, FeedbackWhiz account setup and subscription"
215473666811281,2026-03-27 13:34:30,true,,Batch item and button issues,Troubleshooting
215473665238543,2026-03-27 12:16:15,true,,"ScoutIQ subscription setup and account access, ScoutX and Scoutify functionality",ScoutIQ subscription
215473663957807,2026-03-27 11:41:45,true,cancel,"ScoutIQ subscription cancellation and payment problems, Subscription end, auto-renewal, and data access","ScoutIQ subscription, Subscription cancellation and refunds"
215473661473684,2026-03-27 09:08:49,true,,Shipment batch issues and closing procedures,Batch processing
215473661169480,2026-03-27 08:48:16,true,,Active listing and offer visibility issues,SKU and ASIN issues
215473659553176,2026-03-27 06:46:46,true,,Amazon data and inventory synchronization issues,Data syncing
215473659373977,2026-03-27 06:20:37,true,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473658242265,2026-03-27 04:19:58,true,,"International marketplace compatibility and InventoryLab support, Inventory valuation and reporting, Bulk cost and supplier data import","InventoryLab, Inventory issues, Bulk upload"
215473657957533,2026-03-27 03:35:10,true,,"Inventory valuation and reporting, Profit and sales discrepancies analysis","Inventory issues, Profit and sales discrepancies analysis"
215473657682453,2026-03-27 02:42:12,true,,"Profit and sales discrepancies analysis, Inventory data upload, import, and shipment creation workflows","Profit and sales discrepancies analysis, InventoryLab"
215473657357075,2026-03-27 01:31:50,true,,Unexpected price changes and pricing errors,SmartRepricer
215473657259342,2026-03-27 01:04:27,true,,Account deletion process,Account status
215473657247159,2026-03-27 01:01:42,true,,Account deletion process,Account status
215473657037891,2026-03-27 00:11:48,true,,Subscription status and payment access,InventoryLab
215473656484293,2026-03-26 22:29:06,true,,"ASIN and SKU pricing discrepancies, Minimum and maximum price configuration, Bulk cost and supplier data import","SmartRepricer, Bulk upload"
215473655652265,2026-03-26 20:22:23,true,refund,Subscription refund eligibility and availability,Subscription cancellation and refunds
215473655450071,2026-03-26 19:51:00,true,,"Packing list printing and issues, Shipping label printing and downloading",Labeling
215473654642122,2026-03-26 18:51:27,true,cancel,General subscription cancellation and refunds,Subscription cancellation and refunds
215473654445350,2026-03-26 18:25:14,true,,"Locating closed, open, and archived batches",Batch processing
215473653757053,2026-03-26 17:18:30,true,,Amazon account integration and linking requirements,Amazon operations
215473651571769,2026-03-26 14:56:17,true,,Subscription cancellation requests and account deletion,Subscription cancellation and refunds
215473651466045,2026-03-26 14:43:38,true,,"Automated review and feedback requests, Order and shipment synchronization across platforms","Review automation, Data syncing"
215473651302944,2026-03-26 14:27:54,true,cancel,Subscription cancellation options and button issues,Subscription cancellation and refunds
215473650796938,2026-03-26 14:00:28,true,,Placement and shipment fee concerns,Placement errors
215473650208224,2026-03-26 13:30:17,true,,,
215473650033079,2026-03-26 13:15:37,true,,"Inventory data upload, import, and shipment creation workflows, Access and connectivity issues with InventoryLab",InventoryLab
215473649571834,2026-03-26 12:48:39,true,,Refunding charges and erroneous transactions,Billing disputes and refunds
215473649401717,2026-03-26 12:32:45,true,,Subscription status and payment access,InventoryLab
215473648912749,2026-03-26 12:17:15,true,seller 365,"InventoryLab subscription transition to Seller 365, Bulk cost and supplier data import","Seller 365, Bulk upload"
215473647553599,2026-03-26 11:24:14,true,,"Error message troubleshooting, Order visibility and health issues",Troubleshooting
215473647262687,2026-03-26 11:12:28,true,,"ScoutIQ subscription setup and account access, Login and password troubleshooting","ScoutIQ subscription, InventoryLab"
215473645384672,2026-03-26 09:25:01,true,,ScoutIQ subscription setup and account access,ScoutIQ subscription
215473645340484,2026-03-26 09:23:07,true,,"Subscription renewal periods and expiration details, Locating closed, open, and archived batches","Subscription status options, Batch processing"
215473644847211,2026-03-26 08:57:42,true,,,
215473640684103,2026-03-26 02:12:12,true,,"International marketplace compatibility and InventoryLab support, Seller Central account linking and troubleshooting","InventoryLab, Amazon operations"
215473640185188,2026-03-26 00:24:13,true,,"Trial subscription cancellation, Amazon seller account reconnection and unlinking","Subscription cancellation and refunds, Amazon operations"
215473639918935,2026-03-25 23:27:48,true,,ScoutX and Scoutify functionality,ScoutIQ subscription
215473639764845,2026-03-25 22:58:40,true,,"ScoutIQ subscription setup and account access, Scoutify login and access issues, Amazon seller account reconnection and unlinking","ScoutIQ subscription, Amazon operations"
215473636639106,2026-03-25 17:44:46,true,cancel,"Subscription cancellation options and button issues, Ending and canceling subscriptions across services, Cancellation process and confirmation steps","Subscription cancellation and refunds, Cancellation confirmation"
215473636254572,2026-03-25 16:54:31,true,,SmartRepricer settings and error resolution,SmartRepricer
215473635564282,2026-03-25 16:04:33,true,,"Pending offer creation issues, Item revalidation troubleshooting",Troubleshooting
215473633561849,2026-03-25 13:13:15,true,seller 365,"FBA and FBM inventory coordination, Reimbursement tracking and recovery","FBA operations, Reimbursement tracking and recovery"
215473633514449,2026-03-25 13:08:26,true,,"Automated review and feedback requests, Campaign email delivery issues","Review automation, Troubleshooting"
215473633222434,2026-03-25 12:48:12,true,,"Bulk book listing and ISBN uploads, Batch closing, reopening, and restoration","Bulk upload, Batch processing"
215473633208516,2026-03-25 12:46:51,true,,Amazon batch processing and workflow interruptions,Amazon operations
215473633125133,2026-03-25 12:39:13,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473632291052,2026-03-25 12:08:50,true,,"FBA shipment processing and complications, Support ticket status and updates","FBA operations, Support ticket status and updates"
215473632058367,2026-03-25 12:02:56,true,,"Automated review and feedback requests, Account email changes and linking","Review automation, InventoryLab"
215473631855222,2026-03-25 11:55:55,true,,"Changing associated account email addresses, User invitation and access options","Email settings, User access"
215473631074927,2026-03-25 11:34:10,true,,"Credit card and card payment updates, ScoutIQ subscription cancellation and payment problems","Payment updates, ScoutIQ subscription"
215473630609485,2026-03-25 11:17:04,true,,"ScoutX and Scoutify functionality, Inventory data upload, import, and shipment creation workflows","ScoutIQ subscription, InventoryLab"
215473629110218,2026-03-25 09:43:55,true,refund,Subscription refund eligibility and availability,Subscription cancellation and refunds
215473628811438,2026-03-25 09:17:23,true,,Tactical Arbitrage subscriptions and accounts,Tactical Arbitrage subscriptions and accounts
215473628427265,2026-03-25 09:00:02,true,,"Inactive account troubleshooting, Account credits and service credit handling","Account status, Payment updates"
215473627656774,2026-03-25 08:16:56,true,,Restricted and excluded products handling,Restricted and excluded products handling
215473627080264,2026-03-25 07:07:45,true,,"Inventory loading and population errors, ASIN import and invalid ASIN errors, Amazon-specific shipment problems and sending issues","InventoryLab, SKU and ASIN issues, Shipment issues"
215473626714281,2026-03-25 06:24:52,true,,"Depot order conversion requests, Order visibility and health issues","Depot order conversion requests, Troubleshooting"
215473624958052,2026-03-25 02:49:32,true,,Item error indicators and discrepancies,Troubleshooting
215473622993441,2026-03-24 21:43:46,true,,SmartRepricer and InventoryLab integration and access,SmartRepricer
215473622821428,2026-03-24 21:11:01,true,,Subscription activation and reactivation issues,Subscription status options
215473621912439,2026-03-24 19:23:46,true,,"InventoryLab employee and user setup, User invitation and access options",User access
215473619347411,2026-03-24 15:44:12,true,,"Subscription end, auto-renewal, and data access",Subscription cancellation and refunds
215473617279625,2026-03-24 13:35:37,true,,Error message troubleshooting,Troubleshooting
215473617031510,2026-03-24 13:22:17,true,,Automated review and feedback requests,Review automation
215473616377126,2026-03-24 12:55:19,true,,,
215473616193480,2026-03-24 12:39:04,true,,"General shipment issues and status, Shipping label printing and downloading","Shipment issues, Labeling"
215473615953976,2026-03-24 12:21:39,true,,ScoutIQ subscription setup and account access,ScoutIQ subscription
215473615887435,2026-03-24 12:15:44,true,,"Box handling and item movement in batches, Item error indicators and discrepancies, Batch closing, reopening, and restoration","Batch processing, Troubleshooting"
215473615558156,2026-03-24 12:02:06,true,,Transportation option confirmation issues,Placement errors
215473615067808,2026-03-24 11:27:22,true,,Account deletion process,Account status
215473613883626,2026-03-24 10:20:06,true,,,
215473613759987,2026-03-24 10:12:53,true,,,
215473613314497,2026-03-24 09:54:44,true,,,
215473613089513,2026-03-24 09:40:22,true,cancel,Subscription cancellation verification,Cancellation confirmation
215473612764434,2026-03-24 09:16:48,true,,Subscription charges and billing discrepancies,Subscription cancellation and refunds
215473612737499,2026-03-24 09:15:05,true,,,
215473612386106,2026-03-24 08:53:36,true,,Campaign email delivery issues,Troubleshooting
215473612346280,2026-03-24 08:48:26,true,,Campaign email delivery issues,Troubleshooting
