Conversation ID,Conversation started at (America/New_York),Fin AI Agent resolution state,Fin AI Agent rating,AI Subtopic,AI Topic
215473267557784,2026-02-26 15:25:25,Assumed resolved,,Identifying and locating seller and merchant IDs,Seller ID
215473267114938,2026-02-26 14:56:23,Assumed resolved,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473265672264,2026-02-26 13:23:47,Assumed resolved,,"Box handling and item movement in batches, General batch issues and troubleshooting, FNSKU label printing and troubleshooting","Batch processing, Labeling"
215473265664994,2026-02-26 13:22:50,Assumed resolved,,Shipping label printing and downloading,Labeling
215473265482651,2026-02-26 13:08:32,Assumed resolved,5,"Walmart review automation and integration, SmartRepricer and InventoryLab integration and access","Review automation, SmartRepricer"
215473265226267,2026-02-26 12:49:52,Confirmed resolved,,Automated review and feedback requests,Review automation
215473264510581,2026-02-26 12:02:52,Assumed resolved,,"Tactical Arbitrage subscriptions and accounts, Amazon account connection and authorization issues","Tactical Arbitrage subscriptions and accounts, Amazon operations"
215473264301719,2026-02-26 11:46:40,Assumed resolved,,"CSV file upload and import operations, Resolving stranded and unlisted inventory issues, InventoryLab subscription cancellation","Bulk upload, Inventory issues, Subscription cancellation and refunds"
215473264226460,2026-02-26 11:38:18,Assumed resolved,,,
215473261831600,2026-02-26 09:47:41,Assumed resolved,,"Tactical Arbitrage subscriptions and accounts, Search functionality and results issues","Tactical Arbitrage subscriptions and accounts, Search functionality and results issues"
215473261642170,2026-02-26 09:38:22,Assumed resolved,,ScoutIQ subscription cancellation and payment problems,ScoutIQ subscription
215473261460136,2026-02-26 09:28:21,Assumed resolved,,2D barcode label options and usage,Labeling
215473258784914,2026-02-26 06:29:06,Assumed resolved,,"FBA and FBM inventory coordination, CSV file upload and import operations","FBA operations, Bulk upload"
215473257902312,2026-02-26 04:33:51,Assumed resolved,,Ending and canceling subscriptions across services,Subscription cancellation and refunds
215473257346900,2026-02-26 03:46:34,Assumed resolved,,,
215473256795424,2026-02-26 02:19:45,Assumed resolved,,Plan selection and change options,Subscription status options
215473256499426,2026-02-26 01:36:51,Assumed resolved,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473256187965,2026-02-26 00:38:18,Assumed resolved,,Batch restoration and error handling,Batch processing
215473255819169,2026-02-25 23:33:21,Assumed resolved,,ScoutIQ subscription cancellation and payment problems,ScoutIQ subscription
215473255645571,2026-02-25 22:52:22,Assumed resolved,,Automated review and feedback requests,Review automation
215473255196090,2026-02-25 21:41:32,Assumed resolved,,ASIN and SKU pricing discrepancies,SmartRepricer
215473254691487,2026-02-25 20:51:16,Assumed resolved,,"Seller 365 plans and pricing, Bulk cost and supplier data import, InventoryLab subscription transition to Seller 365","Seller 365, Bulk upload"
215473253183137,2026-02-25 19:29:40,Confirmed resolved,,,
215473252472287,2026-02-25 17:52:15,Assumed resolved,,"Switching between monthly and yearly subscriptions, Changing associated account email addresses, Login and password troubleshooting","Subscription status options, Email settings, InventoryLab"
215473252293039,2026-02-25 17:26:01,Assumed resolved,,"Subscription activation and reactivation issues, FeedbackWhiz account setup and subscription","Subscription status options, FeedbackWhiz account setup and subscription"
215473251837689,2026-02-25 16:25:49,Assumed resolved,,Scanning and scan option issues,Troubleshooting
215473251240661,2026-02-25 15:21:26,Assumed resolved,,Box handling and item movement in batches,Batch processing
215473251218357,2026-02-25 15:18:24,Assumed resolved,,Batch submission issues,Batch processing
215473251063947,2026-02-25 15:08:24,Assumed resolved,,"Amazon seller account reconnection and unlinking, FeedbackWhiz account setup and subscription, Amazon account connection and authorization issues","Amazon operations, FeedbackWhiz account setup and subscription"
215473251018515,2026-02-25 15:03:22,Assumed resolved,,"International marketplace compatibility and InventoryLab support, Marketplace connection and syncing errors","InventoryLab, Amazon operations"
215473250962679,2026-02-25 14:59:01,Assumed resolved,,Active listing and offer visibility issues,SKU and ASIN issues
215473250834578,2026-02-25 14:44:49,Assumed resolved,,Access and connectivity issues with InventoryLab,InventoryLab
215473250237315,2026-02-25 13:43:07,Confirmed resolved,,"MFN batch troubleshooting, Batch submission issues, Batch restoration and error handling","Troubleshooting, Batch processing"
215473250217954,2026-02-25 13:40:42,Assumed resolved,,"Profit and sales discrepancies analysis, Amazon data and inventory synchronization issues, Inventory data upload, import, and shipment creation workflows","Profit and sales discrepancies analysis, Data syncing, InventoryLab"
215473250190346,2026-02-25 13:37:38,Confirmed resolved,,Shipment error messages and troubleshooting,Shipment issues
215473250065759,2026-02-25 13:25:40,Assumed resolved,,"InventoryLab subscription transition to Seller 365, Subscription charges and billing discrepancies, Inventory data upload, import, and shipment creation workflows","Seller 365, Subscription cancellation and refunds, InventoryLab"
215473249684006,2026-02-25 13:01:37,Assumed resolved,,FBA shipment processing and complications,FBA operations
215473247914008,2026-02-25 11:40:11,Assumed resolved,,,
215473247489283,2026-02-25 11:27:29,Assumed resolved,,"FeedbackWhiz account setup and subscription, FBA and FBM inventory coordination, Seller 365 bundle features and inclusions","FeedbackWhiz account setup and subscription, FBA operations, Seller 365"
215473244976469,2026-02-25 10:01:13,Confirmed resolved,,Switching between monthly and yearly subscriptions,Subscription status options
215473244459251,2026-02-25 09:35:08,Assumed resolved,,,
215473243226329,2026-02-25 08:19:55,Assumed resolved,,Batch processing errors and problem resolution,Batch processing
215473241933778,2026-02-25 06:40:59,Assumed resolved,,Shipping label printing and downloading,Labeling
215473238933729,2026-02-25 00:22:39,Assumed resolved,,"Subscription refund eligibility and availability, Subscription cancellation status check, Subscription cancellation requests and account deletion","Subscription cancellation and refunds, Cancellation confirmation"
215473237704711,2026-02-24 20:45:11,Confirmed resolved,,"Profit and sales discrepancies analysis, ASIN and SKU pricing discrepancies","Profit and sales discrepancies analysis, SmartRepricer"
215473235926843,2026-02-24 17:47:03,Assumed resolved,,Amazon shipment splits and optimized shipping options,InventoryLab
215473235826115,2026-02-24 17:34:05,Assumed resolved,,"Subscription activation and reactivation issues, Account reactivation and deactivation procedures, Switching between monthly and yearly subscriptions","Subscription status options, Account status"
215473234193907,2026-02-24 14:55:18,Assumed resolved,,,
215473233739987,2026-02-24 14:23:45,Assumed resolved,,"ASIN and SKU pricing discrepancies, Bulk cost and supplier data import","SmartRepricer, Bulk upload"
215473233387525,2026-02-24 13:39:58,Confirmed resolved,,FBA and FBM inventory coordination,FBA operations
215473233152841,2026-02-24 13:14:47,Assumed resolved,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473233092929,2026-02-24 13:11:10,Confirmed resolved,,Amazon-specific shipment problems and sending issues,Shipment issues
215473232580299,2026-02-24 12:46:05,Assumed resolved,,InventoryLab subscription transition to Seller 365,Seller 365
215473232487957,2026-02-24 12:42:43,Confirmed resolved,,"Batch item and button issues, Box handling and item movement in batches","Troubleshooting, Batch processing"
215473232430675,2026-02-24 12:40:18,Assumed resolved,,InventoryLab subscription transition to Seller 365,Seller 365
215473231545549,2026-02-24 12:09:26,Confirmed resolved,,"Subscription renewal process and troubleshooting, ScoutIQ subscription cancellation and payment problems, ScoutIQ subscription setup and account access","Subscription status options, ScoutIQ subscription"
215473231292249,2026-02-24 11:56:24,Confirmed resolved,,"Shipment batch issues and closing procedures, Batch restoration and error handling",Batch processing
215473231212619,2026-02-24 11:52:35,Confirmed resolved,5,Subscription cancellation options and button issues,Subscription cancellation and refunds
215473230676859,2026-02-24 11:24:21,Confirmed resolved,,Shipping label printing and downloading,Labeling
215473230384767,2026-02-24 11:08:34,Confirmed resolved,,,
215473230350903,2026-02-24 11:07:27,Assumed resolved,,Campaign email delivery issues,Troubleshooting
215473230043963,2026-02-24 10:56:54,Assumed resolved,,Minimum and maximum price configuration,SmartRepricer
215473229932545,2026-02-24 10:50:52,Confirmed resolved,4,Amazon account integration and linking requirements,Amazon operations
215473229805976,2026-02-24 10:44:36,Assumed resolved,,"Bulk book listing and ISBN uploads, Inventory data upload, import, and shipment creation workflows","Bulk upload, InventoryLab"
215473228880170,2026-02-24 09:45:00,Assumed resolved,,FNSKU label printing and troubleshooting,Labeling
215473228643819,2026-02-24 09:23:20,Confirmed resolved,5,Account cancellation confirmation,Cancellation confirmation
215473228228103,2026-02-24 09:02:26,Assumed resolved,,"General shipment issues and status, Placement and shipment fee concerns","Shipment issues, Placement errors"
215473226778717,2026-02-24 08:14:30,Assumed resolved,,,
215473225882365,2026-02-24 07:06:00,Assumed resolved,,Pending offer creation issues,Troubleshooting
215473225015979,2026-02-24 05:15:59,Assumed resolved,,"Placement and shipment fee concerns, International marketplace compatibility and InventoryLab support","Placement errors, InventoryLab"
215473224899723,2026-02-24 05:01:18,Assumed resolved,,"Tactical Arbitrage subscriptions and accounts, Trial subscription cancellation","Tactical Arbitrage subscriptions and accounts, Subscription cancellation and refunds"
215473224889909,2026-02-24 05:00:11,Assumed resolved,,,
215473224115265,2026-02-24 03:13:58,Confirmed resolved,,"Amazon product approval process, Profit and sales discrepancies analysis","Amazon operations, Profit and sales discrepancies analysis"
215473222959367,2026-02-23 23:52:18,Assumed resolved,,"Item error indicators and discrepancies, Shipment error messages and troubleshooting, General shipment issues and status","Troubleshooting, Shipment issues"
215473222801207,2026-02-23 23:13:39,Assumed resolved,,"Account email changes and linking, Unlinking and connecting seller and merchant IDs","InventoryLab, Seller ID"
215473222466085,2026-02-23 22:14:05,Assumed resolved,,,
215473218975881,2026-02-23 17:03:32,Assumed resolved,,"ScoutIQ subscription cancellation and payment problems, Subscription charges and billing discrepancies, Subscription activation and reactivation issues","ScoutIQ subscription, Subscription cancellation and refunds, Subscription status options"
215473218806329,2026-02-23 16:53:39,Assumed resolved,,Shipping label printing and downloading,Labeling
215473218726009,2026-02-23 16:42:35,Assumed resolved,,"Item revalidation troubleshooting, Batch item and button issues, Restoring batches with box and item retention","Troubleshooting, Batch processing"
215473218523995,2026-02-23 16:17:13,Assumed resolved,,Inactive account troubleshooting,Account status
215473218489571,2026-02-23 16:15:07,Assumed resolved,,ScoutX and Scoutify functionality,ScoutIQ subscription
215473218377204,2026-02-23 16:08:43,Assumed resolved,,Automated review and feedback requests,Review automation
215473218172960,2026-02-23 15:50:48,Assumed resolved,,"General batch issues and troubleshooting, Batch submission issues, Amazon seller account reconnection and unlinking","Batch processing, Amazon operations"
215473218042165,2026-02-23 15:33:17,Assumed resolved,,FBA pricing and sales discrepancies,FBA operations
215473217984699,2026-02-23 15:26:09,Assumed resolved,,,
215473217599938,2026-02-23 14:57:43,Assumed resolved,,Account deletion process,Account status
215473217144193,2026-02-23 14:12:46,Assumed resolved,,Error message troubleshooting,Troubleshooting
215473216905342,2026-02-23 14:02:57,Assumed resolved,,,
215473215527994,2026-02-23 12:53:06,Assumed resolved,,Bulk cost and supplier data import,Bulk upload
215473215393748,2026-02-23 12:40:00,Assumed resolved,,Campaign email delivery issues,Troubleshooting
215473215237419,2026-02-23 12:24:34,Assumed resolved,,Automated review and feedback requests,Review automation
215473215002105,2026-02-23 12:05:54,Assumed resolved,,"Inventory valuation and reporting, Amazon batch processing and workflow interruptions","Inventory issues, Amazon operations"
215473214917823,2026-02-23 12:02:52,Assumed resolved,,"Batch item and button issues, General batch issues and troubleshooting, Pending offer creation issues","Troubleshooting, Batch processing"
215473214353443,2026-02-23 11:26:31,Assumed resolved,,"Subscription cancellation verification, Subscription end, auto-renewal, and data access","Cancellation confirmation, Subscription cancellation and refunds"
215473212441150,2026-02-23 09:47:25,Confirmed resolved,4,Coaching and meeting scheduling requests,Coaching and meeting scheduling requests
215473208147597,2026-02-23 03:18:05,Assumed resolved,,Printer and printing troubleshooting,Troubleshooting
215473207092179,2026-02-23 01:36:41,Assumed resolved,,"ScoutIQ subscription setup and account access, Scoutify login and access issues",ScoutIQ subscription
215473206803672,2026-02-23 00:35:15,Assumed resolved,,"FBA and FBM inventory coordination, Bulk cost and supplier data import","FBA operations, Bulk upload"
215473206450025,2026-02-22 23:04:42,Confirmed resolved,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473206287709,2026-02-22 22:31:46,Assumed resolved,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473206255937,2026-02-22 22:28:58,Assumed resolved,,ScoutIQ subscription setup and account access,ScoutIQ subscription
215473206068196,2026-02-22 22:09:36,Assumed resolved,,"Amazon batch verification and submission errors, Service outage updates and response times, InventoryLab subscription transition to Seller 365","Amazon operations, Service issues, Seller 365"
215473205994933,2026-02-22 21:56:23,Assumed resolved,,ScoutX and Scoutify functionality,ScoutIQ subscription
215473205880567,2026-02-22 21:31:20,Assumed resolved,,ASIN import and invalid ASIN errors,SKU and ASIN issues
215473205642801,2026-02-22 20:49:07,Assumed resolved,,Tactical Arbitrage subscriptions and accounts,Tactical Arbitrage subscriptions and accounts
215473205107653,2026-02-22 20:21:35,Assumed resolved,,SKU creation and attribute errors,SKU and ASIN issues
215473202892679,2026-02-22 14:40:59,Assumed resolved,,"Tactical Arbitrage subscriptions and accounts, Changing associated account email addresses","Tactical Arbitrage subscriptions and accounts, Email settings"
215473202517275,2026-02-22 13:43:38,Assumed resolved,,Active listing and offer visibility issues,SKU and ASIN issues
215473201539282,2026-02-22 11:22:57,Assumed resolved,,"Credit card and card payment updates, Payment confirmation and status updates, Payment method changes and PayPal updates",Payment updates
215473199275585,2026-02-22 06:17:30,Assumed resolved,,"Amazon account integration and linking requirements, Unlinking and connecting seller and merchant IDs","Amazon operations, Seller ID"
215473197243047,2026-02-21 21:55:40,Assumed resolved,,Upgrading and transitioning to Seller 365,Seller 365
215473196841662,2026-02-21 20:46:21,Confirmed resolved,5,Coaching and meeting scheduling requests,Coaching and meeting scheduling requests
215473196692764,2026-02-21 20:08:29,Assumed resolved,,"Seller 365 subscription process and resubscription, ScoutX and Scoutify functionality, ScoutIQ subscription cancellation and payment problems","Seller 365, ScoutIQ subscription"
215473196648362,2026-02-21 19:56:32,Assumed resolved,,"SmartRepricer and InventoryLab integration and access, FBA pricing and sales discrepancies","SmartRepricer, FBA operations"
215473195894667,2026-02-21 17:08:29,Assumed resolved,,"MFN batch troubleshooting, Locating closed, open, and archived batches","Troubleshooting, Batch processing"
215473195774967,2026-02-21 16:45:23,Assumed resolved,,Shipping label printing and downloading,Labeling
215473195442886,2026-02-21 15:49:55,Assumed resolved,,Shipment error messages and troubleshooting,Shipment issues
215473195417846,2026-02-21 15:44:08,Assumed resolved,,Minimum and maximum price configuration,SmartRepricer
215473195384748,2026-02-21 15:37:13,Assumed resolved,,"Minimum and maximum price configuration, Bulk cost and supplier data import","SmartRepricer, Bulk upload"
215473195112660,2026-02-21 15:01:01,Assumed resolved,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473194606224,2026-02-21 13:37:32,Confirmed resolved,5,Subscription activation and reactivation issues,Subscription status options
215473194141164,2026-02-21 12:15:28,Assumed resolved,,"Restoring batches with box and item retention, ScoutX and Scoutify functionality","Batch processing, ScoutIQ subscription"
215473193851522,2026-02-21 11:53:37,Assumed resolved,,ScoutIQ subscription cancellation and payment problems,ScoutIQ subscription
215473193371907,2026-02-21 10:43:24,Assumed resolved,,,
215473193251278,2026-02-21 10:21:56,Assumed resolved,,"Amazon account integration and linking requirements, FNSKU label printing and troubleshooting","Amazon operations, Labeling"
215473191247627,2026-02-21 04:45:11,Assumed resolved,,Account cancellation confirmation,Cancellation confirmation
215473190189791,2026-02-20 23:54:18,Assumed resolved,,"Inventory data upload, import, and shipment creation workflows",InventoryLab
215473189400393,2026-02-20 21:27:38,Assumed resolved,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473187106032,2026-02-20 17:53:27,Assumed resolved,,Changing associated account email addresses,Email settings
215473186664976,2026-02-20 17:05:57,Confirmed resolved,2,Scanning and scan option issues,Troubleshooting
215473186429342,2026-02-20 16:37:13,Assumed resolved,,Profit and loss tax reporting and historical report access,Profit and loss tax reporting and historical report access
215473185166154,2026-02-20 15:38:06,Assumed resolved,,"Subscription refund eligibility and availability, Refund request status and processing, Depot order conversion requests","Subscription cancellation and refunds, Billing disputes and refunds, Depot order conversion requests"
215473184033714,2026-02-20 13:43:14,Confirmed resolved,,Access and connectivity issues with InventoryLab,InventoryLab
215473183520721,2026-02-20 13:01:54,Assumed resolved,,FeedbackWhiz account setup and subscription,FeedbackWhiz account setup and subscription
215473182252695,2026-02-20 12:05:08,Assumed resolved,,,
215473181326808,2026-02-20 10:49:24,Assumed resolved,,FBA and FBM inventory coordination,FBA operations
215473181071312,2026-02-20 10:28:02,Assumed resolved,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473180530841,2026-02-20 10:06:20,Assumed resolved,,"FNSKU label printing and troubleshooting, Shipping label printing and downloading",Labeling
215473180087408,2026-02-20 09:36:21,Assumed resolved,,Restoring batches with box and item retention,Batch processing
215473179819462,2026-02-20 09:16:26,Assumed resolved,,"Batch processing errors and problem resolution, Restoring batches with box and item retention",Batch processing
215473178930652,2026-02-20 08:26:26,Assumed resolved,,SmartRepricer settings and error resolution,SmartRepricer
215473178842197,2026-02-20 08:21:53,Assumed resolved,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473178228222,2026-02-20 07:44:29,Assumed resolved,,"FBA shipment processing and complications, Inventory loading and population errors, General shipment issues and status","FBA operations, InventoryLab, Shipment issues"
215473176597367,2026-02-20 04:27:07,Assumed resolved,,"Order visibility and health issues, Seller Central shipping workflow and status checks, Amazon shipment communication and stuck process issues","Troubleshooting, Shipment issues, Amazon operations"
215473175289458,2026-02-20 01:12:15,Assumed resolved,,FNSKU label printing and troubleshooting,Labeling
215473174685569,2026-02-19 23:06:27,Assumed resolved,,Scoutify login and access issues,ScoutIQ subscription
215473174521505,2026-02-19 22:37:32,Assumed resolved,,Subscription cancellation charges,Cancellation confirmation
215473174403041,2026-02-19 22:10:47,Assumed resolved,,Profit and sales discrepancies analysis,Profit and sales discrepancies analysis
215473174042921,2026-02-19 21:13:26,Assumed resolved,,"Subscription cancellation verification, Subscription cancellation charges, Refunds after subscription cancellation or failed cancellation","Cancellation confirmation, Subscription cancellation and refunds"
215473173256400,2026-02-19 19:25:18,Assumed resolved,,Access and connectivity issues with InventoryLab,InventoryLab
215473173087355,2026-02-19 19:16:37,Confirmed resolved,,Batch processing errors and problem resolution,Batch processing
215473172463512,2026-02-19 18:41:31,Confirmed resolved,,Tactical Arbitrage subscriptions and accounts,Tactical Arbitrage subscriptions and accounts
215473172192500,2026-02-19 18:09:15,Assumed resolved,,,
215473171978764,2026-02-19 17:39:32,Assumed resolved,,"Amazon-specific shipment problems and sending issues, Restoring batches with box and item retention","Shipment issues, Batch processing"
215473171949582,2026-02-19 17:34:59,Assumed resolved,,"Minimum and maximum price configuration, Bulk cost and supplier data import","SmartRepricer, Bulk upload"
215473171011680,2026-02-19 15:57:54,Assumed resolved,,"Box handling and item movement in batches, Restoring batches with box and item retention",Batch processing
215473170745851,2026-02-19 15:37:50,Assumed resolved,,"Reimbursement tracking and recovery, Account credits and service credit handling, FBA pricing and sales discrepancies","Reimbursement tracking and recovery, Payment updates, FBA operations"
215473170282519,2026-02-19 15:16:14,Assumed resolved,,Order visibility and health issues,Troubleshooting
215473169989642,2026-02-19 15:06:10,Confirmed resolved,,Batch item and button issues,Troubleshooting
215473169705515,2026-02-19 14:42:23,Assumed resolved,,Amazon product approval process,Amazon operations
215473168728878,2026-02-19 13:25:00,Confirmed resolved,,Restoring batches with box and item retention,Batch processing
215473168287261,2026-02-19 13:09:36,Assumed resolved,,"Trial subscription cancellation, Amazon account integration and linking requirements, Getting started and registering with Seller 365","Subscription cancellation and refunds, Amazon operations, Seller 365"
215473167777638,2026-02-19 12:26:46,Assumed resolved,,"Subscription charges and billing discrepancies, Subscription activation and reactivation issues","Subscription cancellation and refunds, Subscription status options"
215473167608705,2026-02-19 12:09:35,Assumed resolved,,ASIN import and invalid ASIN errors,SKU and ASIN issues
215473167578741,2026-02-19 12:08:09,Confirmed resolved,5,FNSKU label printing and troubleshooting,Labeling
215473167305833,2026-02-19 11:54:34,Assumed resolved,,SKU creation and attribute errors,SKU and ASIN issues
215473167278529,2026-02-19 11:52:53,Assumed resolved,,"Profit and loss tax reporting and historical report access, Inventory valuation and reporting, Amazon seller account reconnection and unlinking","Profit and loss tax reporting and historical report access, Inventory issues, Amazon operations"
215473167091315,2026-02-19 11:36:55,Assumed resolved,,Subscription renewal periods and expiration details,Subscription status options
215473167077304,2026-02-19 11:35:25,Assumed resolved,,General subscription cancellation and refunds,Subscription cancellation and refunds
215473166738184,2026-02-19 11:07:31,Assumed resolved,,Reimbursement tracking and recovery,Reimbursement tracking and recovery
215473166275940,2026-02-19 10:38:11,Confirmed resolved,5,Trial subscription cancellation,Subscription cancellation and refunds
215473166055580,2026-02-19 10:19:36,Assumed resolved,,"Order and shipment synchronization across platforms, SmartRepricer and InventoryLab integration and access","Data syncing, SmartRepricer"
215473165688795,2026-02-19 09:55:07,Assumed resolved,,Wholesale search and access options,Wholesale search and access options
215473163290734,2026-02-19 06:40:27,Assumed resolved,,"Amazon seller account reconnection and unlinking, Cache and browser troubleshooting","Amazon operations, Troubleshooting"
215473162032374,2026-02-19 04:04:49,Assumed resolved,,"FBA and FBM inventory coordination, Pending offer creation issues, FeedbackWhiz account setup and subscription","FBA operations, Troubleshooting, FeedbackWhiz account setup and subscription"
215473161337577,2026-02-19 02:50:11,Assumed resolved,,Profit and loss tax reporting and historical report access,Profit and loss tax reporting and historical report access
215473161194347,2026-02-19 02:23:06,Assumed resolved,,"Amazon data and inventory synchronization issues, Inventory valuation and reporting, Inventory data upload, import, and shipment creation workflows","Data syncing, Inventory issues, InventoryLab"
215473160476760,2026-02-19 00:46:22,Assumed resolved,,"Restock and insights reporting features, Inventory valuation and reporting","InventoryLab, Inventory issues"
215473159466953,2026-02-18 22:04:22,Assumed resolved,,"Payment method changes and PayPal updates, Subscription end, auto-renewal, and data access","Payment updates, Subscription cancellation and refunds"
215473158881501,2026-02-18 20:09:27,Assumed resolved,,"SKU creation and attribute errors, Batch submission issues","SKU and ASIN issues, Batch processing"
215473158671253,2026-02-18 19:32:16,Assumed resolved,,,
215473156824036,2026-02-18 18:30:38,Assumed resolved,,Subscription renewal process and troubleshooting,Subscription status options
215473156657098,2026-02-18 18:20:10,Assumed resolved,,Automated review and feedback requests,Review automation
215473156401833,2026-02-18 17:57:46,Confirmed resolved,5,SKU creation and attribute errors,SKU and ASIN issues
215473156367428,2026-02-18 17:51:39,Confirmed resolved,,Amazon product approval process,Amazon operations
